Asana; posture; postura;
Adho; down; abajo;
Ardha; half; mitad;
Urdhva; up; arriba;
Mukha; face; rostro;
Svana; dog; perro;
Virabhadra; warrior; guerrero;
Vriksha; tree; árbol;
Bala; child; niño;
Bhujanga; cobra; cobra;
Paschi; west; oeste;
Setu; bridge; puente;
Shava; corpse; cadáver;
Trikona; triangle; triángulo;
Matsya; fish; pez;
Mala; garland; guirnalda;
Eka; one; uno;
Pada; foot; pie;
Raja; royal; real;
Kapota; dove; paloma;
Hasta; hand; mano;
Parivrtta; inverted; invertido;
Janu; knee; rodilla;
Sirsa; head; cabeza;
